Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BBVA.MC,8.372,2023/11/22,17:35 CET,0.07600021,8.3,8.386,8.298,11327942,20231018,7.260693069306931,202.0,0.0,,,
HO.PA,140.65,2023/11/22,17:35 CET,0.5499878,140.6,142.1,140.2,171721,20231018,137.96818181818182,11.0,0.0,,,
VNA.DE,24.91,2023/11/22,17:37 CET,0.22999954,24.7,25.24,24.7,1745485,20231018,23.4925,68.0,0.0,,,
PHIA.AS,19.51,2023/11/22,17:35 CET,0.17000008,19.298,19.524,19.238,1295744,20231018,17.490408163265304,98.0,0.0,,,
UCG.MI,24.725,2023/11/22,17:36 CET,-0.09000015,24.89,25.06,24.675,7624782,20231018,22.794473684210526,76.0,0.0,,,
REN.AS,34.82,2023/11/22,17:35 CET,0.36999893,34.76,34.93,34.56,534917,20231018,31.39327272727273,55.0,0.0,,,
ABI.BR,57.63,2023/11/22,17:35 CET,0.8100014,56.9,57.65,56.89,1265376,20231018,51.32441176470588,34.0,0.0,,,
BAYN.DE,32.815,2023/11/22,17:44 CET,-1.170002,33.76,34.095,32.65,9749377,20231018,45.39525,40.0,0.0,,,
ETE.AT,6.2,2023/11/22,17:19 EET,-0.09000015,6.084,6.232,6.056,12096000,20231018,5.1627223719676545,371.0,0.0,,,
AMS.MC,63.6,2023/11/22,17:35 CET,0.5,63.08,63.8,63.08,513429,20231018,56.44,36.0,0.0,,,
AI.PA,172.84,2023/11/22,17:35 CET,1.2599945,172.1,173.06,171.6,496906,20231018,155.63400000000001,15.0,0.0,,,
UCB.BR,68.56,2023/11/22,17:36 CET,0.5799942,67.94,68.88,67.84,251153,20231018,78.846,30.0,0.0,,,
MRK.DE,159.6,2023/11/22,17:35 CET,-3.699997,163.9,164.9,159.6,394892,20231018,151.396875,16.0,0.0,,,
ENEL.MI,6.391,2023/11/22,17:35 CET,-0.025000095,6.41,6.443,6.321,29562808,20231018,5.679437984496125,516.0,0.0,,,
MC.PA,712.3,2023/11/22,17:38 CET,8.200012,706.8,714.1,702.9,253674,20231018,657.5699999999999,5.0,0.0,,,
RACE.MI,335.3,2023/11/22,17:35 CET,5.1999817,331.8,336.5,331.3,229250,20231018,270.5857142857143,14.0,0.0,,,
ASML.AS,633.3,2023/11/22,17:35 CET,7.5999756,622.5,637.4,619.5,464199,20231018,547.39375,8.0,0.0,,,
