Ticker,Company Name,Country,Sector,Industry,10 Day Average Volume,Price,Current Shares,Dividend Yield,Recommendation Key,"Recommendation Mean (1=Strong Buy, 5=Strong Sell)",Target Mean Price,Target High Price,Target Low Price,Target Median Price,PEG Ratio,Beta,Trailing P/E,Forward P/E,Trailing EPS,Forward EPS,52 Week Change,"52 Week Relative Price (1=52 week high, 0=52 week low)",Log Market Cap,Overall Risk (1-10),Percent of Shares Held by Institutions,Percent of Shares Held by Insiders,Company Description
ADS.DE,adidas AG,Germany,Consumer Cyclical,Footwear & Accessories,581357,158 EUR,0,0.43 %,buy,2.5,186 EUR,235 EUR,90 EUR,193 EUR,-1.41,1.092717,,37.618137,-1.9,4.19,+22.8 %,0.6745798319327732,10.44936870874658,3.0,52.241004000000004,10.981,"adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products in Europe, the Middle east, Africa, North America, Greater China, the Asia-Pacific, and Latin America. It offers footwear; apparel; and accessories and gear, such as bags and balls under the adidas brand. It sells its products through own retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany."
ADYEN.AS,Adyen N.V.,Netherlands,Technology,Software—Infrastructure,169477,674 EUR,0,0 %,hold,2.8,1.08K EUR,1.5K EUR,600 EUR,1.06K EUR,,1.254129,37.168873,121.133095,18.12,5.56,-48.9 %,0.048868694362017844,10.397702135277076,1.0,76.92999999999999,16.414,"Adyen N.V. operates a payments platform in Europe, the Middle East, Africa, North America, the Asia Pacific, Latin America. The company's platform integrates payments stack that include gateway, risk management, processing, issuing, acquiring, and settlement services. It offers a back-end infrastructure for authorizing. It serves digital, mobility, platforms and marketplace, retail, food and beverages, subscription, and hospital businesses. Adyen N.V. was incorporated in 2006 and is headquartered in Amsterdam, the Netherlands."
AED.BR,Aedifica NV/SA,Belgium,Real Estate,REIT—Healthcare Facilities,107493,52.4 EUR,0,7.12 %,buy,2.2,74.5 EUR,104 EUR,55.7 EUR,70 EUR,2.23,0.696696,15.580358,11.067653,3.36,4.73,-30.7 %,0.010339734121122643,9.456391611409673,1.0,35.968,0.061,"Aedifica is a Regulated Real Estate Company under Belgian law specialised in European healthcare real estate, particularly in elderly care. Aedifica has developed a portfolio of more than 620 sites in Belgium, Germany, the Netherlands, the United Kingdom, Finland, Sweden, Ireland and Spain, worth more than 5.7 billion. Aedifica is listed on Euronext Brussels (2006) and Euronext Amsterdam (2019) and is identified by the following ticker symbols: AED; AED:BB (Bloomberg); AOO.BR (Reuters). Since 2020, Aedifica has been part of the BEL 20, Euronext Brussels' leading share index. Moreover, since 2023, Aedifica has been part of the BEL ESG, the index tracking companies that perform best on ESG criteria. Aedifica is also included in the EPRA, Stoxx Europe 600 and GPR indices. Aedifica's market capitalisation was approx. 3 billion as of 9 May 2023."
AEGN.AT,Aegean Airlines S.A.,Greece,Industrials,Airlines,167635,10.6 EUR,0,0 %,buy,2.5,10.9 EUR,16.3 EUR,5.5 EUR,10.9 EUR,0.35,1.644144,5.6684494,5.6084657,1.87,1.89,+145 %,0.6595744680851063,8.980353998063665,10.0,7.428999999999999,62.009996,"Aegean Airlines S.A., together with its subsidiaries, operates as an airline company that engages in the provision of public airline transportation services in Greece and internationally. It transports passengers and cargo through scheduled and non-scheduled flights; and offers aviation applications, aircraft technical support, and ground handling aircraft services. The company also offers charter flights; and imports, markets, and leases aircraft and spare parts. Aegean Airlines S.A. was incorporated in 1988 and is headquartered in Athens, Greece."
AENA.MC,"Aena S.M.E., S.A.",Spain,Industrials,Airports & Air Services,141969,139 EUR,0,3.43 %,hold,2.6,137 EUR,185 EUR,114 EUR,137 EUR,0.13,1.188813,16.894032,23.078201,8.21,6.01,+26.1 %,0.6824953445065175,10.318167702761361,4.0,23.666999999999998,51.0,"Aena S.M.E., S.A., together with its subsidiaries, engages in the operation, maintenance, management, and administration of airport infrastructures and heliports in Spain, Brazil, the United Kingdom, Mexico, and Colombia. It operates through Airports, Real Estate Services, International, and SCAIRM segments. The company manages commercial spaces in airport terminals and a network of parking lots; and leases areas in airport terminals for duty-free shops, specialty shops, food and beverage establishments, commercial operations, and advertising, as well as financial services, luggage wrapping machines, other vending machines, and regulated services. It also leases office buildings, warehouses, hangars, and cargo storage facilities to airlines, air cargo operators, handling agents, and other airport service providers. The company was formerly known as Aena, S.A. and changed its name to Aena S.M.E., S.A. in April 2017. The company was founded in 2010 and is headquartered in Madrid, Spain. Aena S.M.E., S.A. operates as a subsidiary of Entidad Pública Empresarial ENAIRE."
AGN.AS,Aegon N.V.,Netherlands,Financial Services,Insurance—Diversified,6440311,4.48 EUR,0,5.55 %,hold,2.6,5.3 EUR,6.8 EUR,3.6 EUR,5.5 EUR,-2.22,1.246996,,6.3056345,-0.69,0.71,+11.4 %,0.4795982423101069,9.939059634157179,1.0,32.594,14.969,"Aegon N.V. provides insurance, pensions, retirement, and asset management services in the Americas, the Netherlands, the United Kingdom, and internationally. The company offers life, accident, property and casualty, and health insurance; annuities, retirement plans, and mutual funds; mortgage loans; and individual retirement accounts, as well as stable value, investment management, and digital banking solutions. It offers its products under the Aegon and Transamerica brands. The company was founded in 1844 and is headquartered in The Hague, the Netherlands."
AGS.BR,ageas SA/NV,Belgium,Financial Services,Insurance—Diversified,342474,38.6 EUR,0,7.66 %,buy,2.5,45.9 EUR,54.9 EUR,37 EUR,47 EUR,0.82,0.768393,7.784274,5.995342,4.96,6.44,+4.37 %,0.42327586206896545,9.850740429504725,2.0,37.798,7.309,"ageas SA/NV, together with its subsidiaries, engages in insurance business in Europe and Asia. The company operates in five segments: Belgium, Europe, Asia, Reinsurance, and General Account. It primarily offers property, casualty, and life insurance products, as well as pension products; and reinsurance products. Its life insurance products include risks related to the life and death of individuals; and non-life insurance products comprise accident and health, motor, fire, and other insurance products, as well as other damages to property covering the risk of property losses or claims liabilities. The company serves private individuals, as well as small, medium-sized, and large companies through independent brokers and the bank channels. ageas SA/NV was founded in 1824 and is headquartered in Brussels, Belgium."
AI.PA,L'Air Liquide S.A.,France,Basic Materials,Specialty Chemicals,772397,158 EUR,5,1.85 %,buy,2.1,178 EUR,194 EUR,145 EUR,183 EUR,3.01,0.627627,26.065788,22.258427,6.08,7.12,+34.4 %,0.8149518874907475,10.93924447594957,2.0,31.386998,2.9260002,"L'Air Liquide S.A. provides gases, technologies, and services for the industrial and health sectors in Europe, the Americas, the Asia Pacific, the Middle East, and Africa. The Gas & Services segment comprises large industries business, which offers gas and energy solutions including oxygen, nitrogen, argon, hydrogen, and carbon monoxide, as well as operates cogeneration plants to supply steam and electricity to metals, chemicals, refining, and energy industries; and industrial merchant business line provides industrial gases, equipment, hardgoods, and associated services to material and energy, automotive and manufacturing, food and pharmaceuticals, technology and research, and craftsmen and retail sector. This segment also includes healthcare business, which provides medical gases, home healthcare services, medical equipment, and specialty ingredient to patients, healthcare professionals, and hospitals; and electronic business supply carrier gases, electronic specialty and advanced materials, equipment and installation, and service to semiconductor, flat panel, and photovoltaic markets. Its Engineering & Construction segment designs, develops, and builds industrial gas production plants to third parties; and design and manufacture plants in traditional, renewable and alternative energy sectors. The Global Markets & Technologies segment delivers technological solutions, such as molecules, equipment, and services to energy transition, primarily in transport, energy, and waste valorization, as well as space exploration, aerospace, fundamental sciences, and quantum computing. This segment also invests in biomethane production units; develops stations for distributing natural biogas for vehicles and hydrogen; operates biomethane production units for maritime industry; and supplies gases for the offshore oil and gas platforms, offshore wind turbines, and cryogenic transportation by sea. L'Air Liquide S.A. was incorporated in 1902 and is headquartered in Paris, France."
AIR.PA,Airbus SE,Netherlands,Industrials,Aerospace & Defense,1048070,124 EUR,9,1.46 %,buy,2.2,146 EUR,193 EUR,100 EUR,150 EUR,1.31,1.639264,25.254583,18.235294,4.91,6.8,+38.4 %,0.7174578866768762,11.025298376324486,1.0,35.851002,25.791999999999998,"Airbus SE engages in the design, manufacture, and delivery of aerospace products, services, and solutions worldwide. It operates through three segments: Airbus, Airbus Helicopters, and Airbus Defence and Space. The Airbus segment develops, manufactures, markets, and sells commercial jet passenger aircraft; freighter aircraft; and regional turboprop aircraft and aircraft components, as well as provides aircraft conversion and related services. The Airbus Helicopters segment engages in the development, manufacture, marketing, and sale of civil and military helicopters; and provision of helicopter related services. The Airbus Defence and Space segment designs, develops, delivers, and supports military aircraft, such as combat, mission, transport, tanker aircraft, and their associated services; a range of civil and defence space systems for telecommunications, earth observations, navigation, science, and orbital systems; and unmanned aerial systems. This segment also offers missile and space launcher systems, as well as services around data processing from platforms, secure communication, and cyber security. The company was formerly known as Airbus Group SE and changed its name to Airbus SE in April 2017. Airbus SE was incorporated in 1998 and is based in Leiden, the Netherlands."
AKZA.AS,Akzo Nobel N.V.,Netherlands,Basic Materials,Specialty Chemicals,434407,68.2 EUR,0,2.88 %,buy,2.5,83.3 EUR,94 EUR,68.5 EUR,87 EUR,0.53,1.01051,38.33708,14.070103,1.78,4.85,+18.5 %,0.5425268373245251,10.103575287923352,2.0,67.43299999999999,1.545,"Akzo Nobel N.V. engages in the production and sale of paints and coatings worldwide. It offers decorative paints, including paints, lacquers, and varnishes; and a range of mixing machines and color concepts for the building and renovation industry, as well as specialty coatings. The company also provides performance coatings that protect and enhance ships, cars, aircraft, yachts, architectural components, consumer goods, and oil and gas facilities. It offers its products primarily under AkzoNobel, Alabastine, Alba, Andercol, Apla, Armstead Trade, Astral, AwlGrip, Dulux, Bruguer, Cetabever, Cetol, Chemcraft, Colourland Paints, Coral, Cromadex, Cuprinol, Dynacoat, Flexa, Glitsa, Grip-Gard, Zweihorn, Xylazel, Xyladecor, Wanda, Vpowdertech, Vivechrom, U-tech, Trimetal, Titanlux, Taubmans, Sparlack, Sikkens, Savana, and Salcomix, as well as Sadolin, Resicoat, Relest, Procolor, Polyfilla, Polycell, Pinotex, Pintuco, Oxirite, Nordsjo, Molto, Modern Classikk, Maxilite, Mauvilac, Mason CT, Marshall, Laxol, Levis, Lesonal, Interpon, International, Interlux, Innenweis, Inca, Herbol, and Hammerite brands. The company was formerly known as Akzo NV and changed its name to Akzo Nobel N.V. in 1994. Akzo Nobel N.V. was founded in 1646 and is headquartered in Amsterdam, the Netherlands."
ALPHA.AT,Alpha Services and Holdings S.A.,Greece,Financial Services,Banks—Regional,6705091,1.29 EUR,0,0 %,buy,2.3,1.8 EUR,2.3 EUR,1 EUR,1.8 EUR,0.09,1.693318,6.768421,4.5928574,0.19,0.28,+59.5 %,0.5496929724812373,9.480107360939183,3.0,38.807,9.0,"Alpha Services and Holdings S.A., together with its subsidiaries, provides various banking and financial products and services to individuals, professionals, and companies in Greece and internationally. It operates through Retail Banking, Corporate Banking, Asset Management and Insurance, Investment Banking and Treasury, South Eastern Europe, and Other segments. The company offers various deposit products, including deposits/savings accounts, working capital/current accounts, checking accounts, investment facilities/term deposits, repos, and swaps; loans comprising mortgage loans, consumer loans, working capital facilities, corporate loans, and letters of guarantee; and debit and credit cards. It also provides leasing and factoring services; asset management services; insurance products; stock exchange, advisory, and brokerage services relating to capital markets; investment banking facilities, as well as deals in interbank market activities and securitization transactions; and mobile and Web banking services. Further, the company provides in the real estate management and hotel services. The company was founded in 1879 and is based in Athens, Greece."
ALV.DE,Allianz SE,Germany,Financial Services,Insurance—Diversified,984670,227 EUR,5,4.95 %,buy,2.0,251 EUR,309 EUR,207 EUR,252 EUR,0.9,1.112987,10.34412,8.81017,21.94,25.76,+43.4 %,0.9029745946636024,10.959711979992962,5.0,39.034998,0.0030000001,"Allianz SE, together with its subsidiaries, provides property-casualty insurance, life/health insurance, and asset management products and services worldwide. The company's Property-Casualty segment offers various insurance products, including motor liability and own damage, accident, general liability, fire and property, legal expense, credit, and travel to private and corporate customers. Its Life/Health segment provides a range of life and health insurance products on an individual and a group basis, such as annuities, endowment and term insurance, and unit-linked and investment-oriented products, as well as private and supplemental health, and long-term care insurance products. The company's Asset Management segment offers institutional and retail asset management products and services to third-party investors comprising equity and fixed income funds, and multi-assets; and alternative investment products that include real estate, infrastructure debt/equity, real assets, liquid alternatives, and solutions. Its Corporate and Other segment provides banking services for retail clients, as well as digital investment services. Allianz SE was founded in 1890 and is headquartered in Munich, Germany."
AMP.MI,Amplifon S.p.A.,Italy,Healthcare,Medical Distribution,1224923,28.1 EUR,0,1.03 %,buy,2.3,33.7 EUR,40.4 EUR,29.2 EUR,33 EUR,2.36,0.790915,36.532467,25.572725,0.77,1.1,+7.81 %,0.3748079877112134,9.822352156096331,8.0,32.484,42.229998,"Amplifon S.p.A. engages in the distribution of hearing solutions that help people rediscover various emotions of sound in Europe, the Middle East, Africa, the Americas, and the Asia Pacific. The company offers ampli-easy, ampli-mini, ampli-connect, and ampli-energy hearing devices. It is also involved in fitting of customized products. Amplifon S.p.A. was founded in 1950 and is headquartered in Milan, Italy."
AMS.MC,"Amadeus IT Group, S.A.",Spain,Consumer Cyclical,Travel Services,659261,57.6 EUR,11,1.24 %,buy,2.4,61.2 EUR,73 EUR,50 EUR,61 EUR,0.08,1.206081,28.636816,23.687243,2.01,2.43,+30 %,0.5009854158454868,10.408452509128649,1.0,71.292996,0.02,"Amadeus IT Group, S.A., together with its subsidiaries, operates as a transaction processor for the travel and tourism industry worldwide. The company operates through three segments, Air Distribution, Air IT Solutions, and Hospitality & Other Solutions. The company acts as an international network providing real-time search, pricing, booking, and ticketing services. It also offers travel providers a portfolio of technology solutions, which automate certain mission-critical business processes, such as reservations, inventory management, and departure control. In addition, the company is involved in the provision of software development and definition, software distribution, regional support, data processing, intermediation, computer consulting, installation of industrial machinery and equipment, technology development services for payments, and information technology services; financial activities; and e-commerce business. It serves providers of travel products and services, such as airlines, airports, hotels, tour operators, insurance companies, road and sea transport companies, travel sellers and brokers, travel buyers, and ground handlers. The company was formerly known as Amadeus IT Holding, S.A. and changed its name to Amadeus IT Group, S.A. in August 2016. Amadeus IT Group, S.A. was founded in 1987 and is headquartered in Madrid, Spain."
ANA.MC,"Acciona, S.A.",Spain,Industrials,Engineering & Construction,102829,120 EUR,0,3.72 %,hold,2.8,201 EUR,245 EUR,128 EUR,202 EUR,1.73,0.656906,9.318358,13.104575,12.91,9.18,-34.1 %,0.015785861358956644,9.818198165468214,5.0,15.808,56.347,"Acciona, S.A., together with its subsidiaries, engages in the energy, infrastructure, and other businesses in Spain and internationally. The company develops, constructs, operates, and maintains wind, solar photovoltaic, solar thermal, hydro, and biomass plants. It also engages in designing, construction, maintenance, and management of infrastructure projects, including bridges, highways, motorways, roads, tunnels, railway, and metros and trams, as well as ports and water channels, airports, freight forwarding, data centers, substations, and transmission lines. In addition, the company offers event planning and management services, as well as designs, constructs, and operates drinking water treatment plants, reverse osmosis desalination plants, wastewater treatment plants, and tertiary treatment plants for water reuse; and constructs, operates, and manages healthcare, universities and campuses, ecosystems restoration, museums and exhibitions, and event planning and management; Further, it provides hotels and holiday resorts, offices, and industrial properties; financial solutions; facility management and airport handling; and museum interior design. It also engages in the fund management, stock broking, real estate, motorbike sharing, and other businesses. Acciona, S.A. was founded in 1916 and is headquartered in Alcobendas, Spain."
